"Date","Price","Open","High","Low","Vol.","Change %"
"08/27/2021","261,890","258,288","262,309","257,736","","1.39%"
"08/26/2021","258,311","257,808","259,315","256,557","","0.25%"
"08/25/2021","257,669","259,460","259,580","256,629","","-0.66%"
"08/24/2021","259,393","260,181","260,509","258,981","","-0.27%"
"08/23/2021","260,099","257,333","260,422","256,680","","1.08%"
"08/20/2021","257,310","256,382","258,825","256,136","","0.41%"
"08/19/2021","256,262","256,918","258,174","255,698","","-0.23%"
"08/18/2021","256,850","256,681","257,957","255,443","","0.12%"
"08/17/2021","256,546","256,662","258,088","255,861","","-0.09%"
"08/16/2021","256,775","255,874","257,188","254,438","","0.35%"
"08/13/2021","255,879","252,089","256,173","251,876","","1.56%"
"08/12/2021","251,951","251,937","253,062","250,441","","0.05%"
"08/11/2021","251,831","248,687","252,360","247,888","","1.31%"
"08/10/2021","248,571","248,427","250,291","246,971","","0.11%"
"08/09/2021","248,297","253,084","253,271","241,807","","-1.87%"
"08/06/2021","253,038","258,795","258,984","252,364","","-2.16%"
"08/05/2021","258,635","259,421","260,453","257,841","","-0.23%"
"08/04/2021","259,224","259,640","262,220","258,560","","-0.13%"
"08/03/2021","259,559","261,558","262,609","259,121","","-0.73%"
"08/02/2021","261,462","262,400","262,797","260,343","","-0.30%"
"07/30/2021","262,245","264,773","265,223","261,696","","-0.90%"
"07/29/2021","264,635","261,816","265,471","261,674","","1.12%"
"07/28/2021","261,699","260,676","262,209","259,703","","0.41%"
"07/27/2021","260,621","260,322","261,677","259,633","","0.17%"
"07/26/2021","260,175","261,248","262,577","260,059","","-0.31%"
"07/23/2021","260,992","261,698","262,536","259,482","","-0.21%"
"07/22/2021","261,551","262,404","262,417","259,542","","-0.21%"
"07/21/2021","262,089","262,802","264,097","260,918","","-0.22%"
"07/20/2021","262,677","263,267","264,984","262,050","","-0.14%"
"07/19/2021","263,054","262,643","263,733","260,540","","0.20%"
"07/16/2021","262,532","264,956","265,816","262,209","","-0.85%"
"07/15/2021","264,794","264,613","265,930","263,592","","0.13%"
"07/14/2021","264,442","261,458","265,031","260,952","","1.17%"
"07/13/2021","261,380","261,775","262,970","260,132","","-0.09%"
"07/12/2021","261,616","262,649","263,098","259,591","","-0.36%"
"07/09/2021","262,552","261,871","263,341","261,189","","0.33%"
"07/08/2021","261,688","261,224","264,166","259,819","","0.23%"
"07/07/2021","261,087","260,029","262,152","259,539","","0.47%"
"07/06/2021","259,858","259,402","262,680","258,999","","0.19%"
"07/05/2021","259,354","259,797","260,161","258,486","","-0.09%"
"07/02/2021","259,592","257,659","260,917","257,370","","0.80%"
"07/01/2021","257,519","256,680","258,663","255,994","","0.39%"
"06/30/2021","256,517","255,105","257,334","254,153","","0.62%"
"06/29/2021","254,948","256,890","257,679","253,503","","-0.69%"
"06/28/2021","256,727","256,945","258,464","255,367","","-0.02%"
"06/25/2021","256,776","256,382","258,294","255,982","","0.22%"
"06/24/2021","256,205","256,759","258,267","255,908","","-0.15%"
"06/23/2021","256,597","256,169","259,089","255,890","","0.20%"
"06/22/2021","256,085","257,278","258,082","255,211","","-0.42%"
"06/21/2021","257,157","253,639","257,783","253,639","","1.48%"
"06/18/2021","253,399","254,557","258,354","253,149","","-0.37%"
"06/17/2021","254,331","258,103","262,216","253,635","","-1.36%"
"06/16/2021","257,833","264,414","265,395","256,872","","-2.44%"
"06/15/2021","264,268","265,053","266,315","263,344","","-0.26%"
"06/14/2021","264,958","265,986","266,500","261,976","","-0.51%"
"06/11/2021","266,322","270,472","270,769","265,913","","-1.50%"
"06/10/2021","270,374","269,262","270,716","266,406","","0.49%"
"06/09/2021","269,062","269,788","270,759","268,932","","-0.23%"
"06/08/2021","269,693","270,951","271,522","268,429","","-0.39%"
