"Date","Price","Open","High","Low","Vol.","Change %"
"09/07/2022","18.5100","18.0200","18.5400","17.8400","","2.53%"
"09/06/2022","18.0530","18.1500","18.5950","17.9393","","-0.60%"
"09/05/2022","18.1615","18.0550","18.2768","17.9400","","0.77%"
"09/02/2022","18.0222","17.8100","18.3050","17.7750","","0.96%"
"09/01/2022","17.8500","17.9750","18.0071","17.5548","","-0.67%"
"08/31/2022","17.9700","18.4150","18.5650","17.9200","","-2.81%"
"08/30/2022","18.4900","18.7887","18.8650","18.3400","","-1.39%"
"08/29/2022","18.7500","18.8812","18.9250","18.5124","","-0.69%"
"08/26/2022","18.8800","19.2550","19.4400","18.8200","","-2.07%"
"08/25/2022","19.2800","19.1267","19.4250","19.0934","","0.63%"
"08/24/2022","19.1600","19.1300","19.2450","18.9400","","0.00%"
"08/23/2022","19.1600","18.9900","19.2950","18.7850","","0.79%"
"08/22/2022","19.0100","19.0400","19.1950","18.7085","","-0.08%"
"08/19/2022","19.0253","19.5650","19.5815","19.0200","","-2.53%"
"08/18/2022","19.5200","19.8750","19.9650","19.4800","","-1.61%"
"08/17/2022","19.8400","20.1420","20.3150","19.6850","","-1.38%"
"08/16/2022","20.1175","20.2800","20.3121","19.9100","","-0.65%"
"08/15/2022","20.2500","20.7950","20.8950","20.0850","","-2.69%"
"08/12/2022","20.8100","20.3165","20.8850","20.2330","","2.56%"
"08/11/2022","20.2910","20.5930","20.6650","20.2381","","-1.34%"
"08/10/2022","20.5675","20.5295","20.8550","20.3350","","0.31%"
"08/09/2022","20.5040","20.6741","20.7950","20.4050","","-0.70%"
"08/08/2022","20.6485","19.9000","20.7450","19.7950","","3.89%"
"08/05/2022","19.8750","20.1750","20.3450","19.5494","","-1.34%"
"08/04/2022","20.1446","20.0630","20.4000","19.9594","","0.53%"
"08/03/2022","20.0385","19.9790","20.1859","19.7796","","0.42%"
"08/02/2022","19.9546","20.3645","20.5200","19.9400","","-1.89%"
"08/01/2022","20.3385","20.3230","20.5250","20.0536","","0.09%"
"07/29/2022","20.3200","19.9996","20.3750","19.8450","","1.70%"
"07/28/2022","19.9800","19.1100","20.0800","19.0564","","4.44%"
"07/27/2022","19.1300","18.6265","19.1650","18.4400","","2.85%"
"07/26/2022","18.6005","18.4390","18.7400","18.3800","","1.02%"
"07/25/2022","18.4130","18.6000","18.8050","18.3000","","-0.95%"
"07/22/2022","18.5900","18.8640","18.9600","18.5000","","-1.32%"
"07/21/2022","18.8395","18.6785","18.9250","18.2347","","0.99%"
"07/20/2022","18.6545","18.7740","19.1250","18.6450","","-0.42%"
"07/19/2022","18.7340","18.6970","18.9250","18.5800","","0.33%"
"07/18/2022","18.6726","18.7100","19.0250","18.6350","","-0.09%"
"07/15/2022","18.6900","18.4056","18.7900","18.1800","","1.66%"
"07/14/2022","18.3840","19.2145","19.2450","18.1315","","-4.20%"
"07/13/2022","19.1900","18.9328","19.4200","18.8450","","1.57%"
"07/12/2022","18.8930","19.1076","19.2650","18.7400","","-1.00%"
"07/11/2022","19.0835","19.3115","19.3950","19.0600","","-1.12%"
"07/08/2022","19.3000","19.2185","19.4650","19.0150","","0.56%"
"07/07/2022","19.1930","19.2055","19.5000","19.0950","","0.06%"
"07/06/2022","19.1811","19.2176","19.4007","18.9200","","-0.06%"
"07/05/2022","19.1925","19.9600","20.2550","19.0900","","-3.82%"
"07/04/2022","19.9540","19.8879","20.0350","19.7600","","0.42%"
"07/01/2022","19.8700","20.2724","20.3100","19.3800","","-1.86%"
"06/30/2022","20.2465","20.7330","20.8450","20.2000","","-2.23%"
"06/29/2022","20.7085","20.8000","21.0650","20.6200","","-0.62%"
"06/28/2022","20.8371","21.1730","21.3850","20.7850","","-1.44%"
"06/27/2022","21.1415","21.2500","21.5600","21.0960","","0.15%"
"06/24/2022","21.1100","20.9600","21.2400","20.6050","","0.84%"
"06/23/2022","20.9346","21.4140","21.5250","20.9121","","-2.14%"
"06/22/2022","21.3915","21.6901","21.7009","21.2350","","-1.26%"
"06/21/2022","21.6655","21.5880","21.9750","21.4850","","0.40%"
"06/20/2022","21.5800","21.6500","21.8050","21.4600","","-0.32%"
"06/17/2022","21.6500","21.9490","21.9700","21.5650","","-1.25%"
"06/16/2022","21.9245","21.6785","22.0150","21.3400","","1.25%"
"06/15/2022","21.6530","21.0550","21.8600","20.9997","","2.74%"
"06/14/2022","21.0750","21.0776","21.3950","20.8800","","0.11%"
"06/13/2022","21.0515","21.9300","22.0150","20.9633","","-3.74%"
